robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
135.0,-50.0,-330.0,0.0,0.0,180.0,-6.54,-51.53,-125.42,-0.833,0.552,0.002,0.022,0.017
135.0,-50.0,-350.0,0.0,0.0,180.0,-6.77,-52.47,-105.54,-0.832,0.554,0.004,0.021,0.026
135.0,-30.0,-250.0,0.0,0.0,180.0,-6.06,-29.55,-203.88,-0.841,0.54,-0.007,0.019,0.086
135.0,-30.0,-270.0,0.0,0.0,180.0,-6.16,-29.94,-184.45,-0.839,0.544,-0.004,0.02,0.062
135.0,-30.0,-290.0,0.0,0.0,180.0,-6.42,-30.27,-164.49,-0.837,0.546,-0.002,0.022,0.044
135.0,-30.0,-310.0,0.0,0.0,180.0,-6.6,-31.12,-145.07,-0.836,0.548,0.001,0.02,0.028
135.0,-30.0,-330.0,0.0,0.0,180.0,-6.89,-31.84,-125.17,-0.835,0.55,0.003,0.02,0.023
135.0,-30.0,-350.0,0.0,0.0,180.0,-7.2,-32.54,-105.11,-0.834,0.552,0.005,0.019,0.024
135.0,-10.0,-250.0,0.0,0.0,180.0,-6.08,-9.93,-203.8,-0.84,0.543,-0.006,0.019,0.087
135.0,-10.0,-270.0,0.0,0.0,180.0,-6.25,-10.11,-184.25,-0.838,0.546,-0.003,0.02,0.069
135.0,-10.0,-290.0,0.0,0.0,180.0,-6.57,-10.82,-164.33,-0.836,0.549,-0.001,0.02,0.057
135.0,-10.0,-310.0,0.0,0.0,180.0,-6.89,-11.19,-144.75,-0.836,0.548,0.002,0.02,0.048
135.0,-10.0,-330.0,0.0,0.0,180.0,-7.24,-12.07,-124.89,-0.835,0.549,0.004,0.019,0.041
135.0,-10.0,-350.0,0.0,0.0,180.0,-7.33,-12.61,-104.88,-0.833,0.553,0.006,0.019,0.037
135.0,10.0,-250.0,0.0,0.0,180.0,-6.14,9.64,-203.66,-0.838,0.546,-0.007,0.017,0.092
