robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
325.0,-12.5,150.0,-180.0,-0.0,-0.0,-23.34,-7.49,-106.84,-0.822,0.569,-0.0,0.01,0.054
325.0,-0.0,100.0,-180.0,-0.0,-0.0,26.29,5.49,-106.46,-0.818,0.575,0.0,0.013,0.046
325.0,-0.0,112.5,-180.0,0.0,-0.0,14.04,5.57,-106.9,-0.819,0.574,0.001,0.012,0.047
325.0,-0.0,125.0,-180.0,-0.0,-0.0,1.42,5.19,-106.65,-0.819,0.573,0.0,0.012,0.051
325.0,-0.0,137.5,-180.0,-0.0,-0.0,-10.85,5.21,-107.05,-0.82,0.572,0.001,0.011,0.057
325.0,-0.0,150.0,-180.0,0.0,-0.0,-23.52,5.07,-106.92,-0.822,0.569,0.001,0.011,0.064
325.0,12.5,100.0,-180.0,-0.0,-0.0,26.26,17.96,-106.47,-0.817,0.576,-0.0,0.012,0.058
325.0,12.5,112.5,-180.0,0.0,-0.0,14.05,18.01,-106.98,-0.818,0.575,0.0,0.011,0.059
325.0,12.5,125.0,-180.0,-0.0,-0.0,1.41,17.63,-106.74,-0.818,0.574,-0.0,0.011,0.062
325.0,12.5,137.5,-180.0,-0.0,-0.0,-10.94,17.61,-107.09,-0.82,0.572,0.001,0.011,0.067
325.0,12.5,150.0,-180.0,0.0,-0.0,-23.41,17.32,-107.03,-0.82,0.571,-0.0,0.01,0.075
325.0,25.0,100.0,-180.0,0.0,-0.0,26.24,30.15,-106.51,-0.817,0.576,-0.0,0.011,0.069
325.0,25.0,112.5,-180.0,0.0,-0.0,13.99,30.09,-106.95,-0.818,0.575,0.001,0.01,0.069
325.0,25.0,125.0,-180.0,0.0,-0.0,1.38,30.17,-106.8,-0.819,0.574,0.0,0.011,0.07
325.0,25.0,137.5,-180.0,-0.0,-0.0,-10.99,29.82,-107.08,-0.82,0.573,0.001,0.01,0.074
325.0,25.0,150.0,-180.0,0.0,-0.0,-23.4,29.87,-107.03,-0.821,0.571,0.001,0.01,0.084
