robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
260.0,-50.0,155.0,-180.0,-0.0,-0.0,-26.7,-55.22,-182.3,0.507,0.861,-0.004,0.048,0.131
260.0,-50.0,165.0,-180.0,-0.0,-0.0,-36.7,-55.54,-182.3,0.504,0.862,-0.004,0.048,0.146
260.0,-50.0,175.0,-180.0,-0.0,-0.0,-46.67,-56.03,-182.61,0.503,0.863,-0.006,0.048,0.153
260.0,-40.0,75.0,-180.0,0.0,-0.0,51.26,-44.39,-181.31,0.523,0.851,-0.006,0.043,0.107
260.0,-40.0,85.0,-180.0,-0.0,-0.0,41.64,-44.5,-181.77,0.523,0.851,-0.007,0.044,0.098
260.0,-40.0,95.0,-180.0,0.0,-0.0,31.87,-44.67,-181.56,0.523,0.851,-0.005,0.045,0.09
260.0,-40.0,105.0,-180.0,0.0,-0.0,22.12,-44.74,-181.76,0.523,0.851,-0.005,0.046,0.084
260.0,-40.0,115.0,-180.0,-0.0,-0.0,12.36,-44.88,-181.68,0.522,0.852,-0.003,0.047,0.083
260.0,-40.0,125.0,-180.0,0.0,-0.0,2.81,-44.9,-182.18,0.52,0.852,-0.004,0.047,0.084
260.0,-40.0,135.0,-180.0,-0.0,-0.0,-6.91,-45.03,-182.29,0.518,0.854,-0.003,0.048,0.091
260.0,-40.0,145.0,-180.0,-0.0,-0.0,-16.82,-45.34,-182.31,0.513,0.857,-0.002,0.048,0.107
260.0,-40.0,155.0,-180.0,0.0,-0.0,-26.49,-45.33,-182.73,0.509,0.86,-0.003,0.048,0.126
260.0,-40.0,165.0,-180.0,-0.0,-0.0,-36.62,-45.62,-182.71,0.505,0.862,-0.003,0.048,0.144
260.0,-40.0,175.0,-180.0,-0.0,-0.0,-46.47,-45.89,-183.0,0.502,0.864,-0.006,0.048,0.159
260.0,-30.0,75.0,-180.0,0.0,-0.0,51.27,-34.56,-181.65,0.523,0.851,-0.006,0.043,0.098
260.0,-30.0,85.0,-180.0,-0.0,-0.0,41.68,-34.55,-182.12,0.523,0.851,-0.006,0.043,0.092
260.0,-30.0,95.0,-180.0,0.0,-0.0,31.88,-34.84,-181.93,0.524,0.85,-0.005,0.045,0.087
260.0,-30.0,105.0,-180.0,0.0,-0.0,22.15,-34.93,-182.18,0.524,0.851,-0.006,0.046,0.085
260.0,-30.0,115.0,-180.0,-0.0,-0.0,12.34,-35.03,-182.0,0.523,0.851,-0.004,0.047,0.084
260.0,-30.0,125.0,-180.0,0.0,-0.0,2.67,-34.92,-182.41,0.521,0.852,-0.003,0.047,0.088
260.0,-30.0,135.0,-180.0,0.0,-0.0,-6.96,-35.21,-182.63,0.519,0.854,-0.003,0.047,0.095
260.0,-30.0,145.0,-180.0,-0.0,-0.0,-16.72,-35.42,-182.65,0.516,0.855,-0.003,0.048,0.107
260.0,-30.0,155.0,-180.0,-0.0,-0.0,-26.53,-35.33,-182.98,0.511,0.858,-0.003,0.048,0.124
260.0,-30.0,165.0,-180.0,-0.0,-0.0,-36.43,-35.81,-183.05,0.507,0.861,-0.004,0.049,0.144
260.0,-30.0,175.0,-180.0,-0.0,-0.0,-46.33,-35.78,-183.36,0.501,0.864,-0.005,0.049,0.165
260.0,-20.0,75.0,-180.0,-0.0,-0.0,51.25,-24.78,-182.01,0.523,0.851,-0.007,0.043,0.097
260.0,-20.0,85.0,-180.0,0.0,-0.0,41.57,-24.93,-182.44,0.524,0.85,-0.008,0.044,0.093
260.0,-20.0,95.0,-180.0,0.0,-0.0,31.8,-24.9,-182.26,0.524,0.851,-0.006,0.045,0.09
260.0,-20.0,105.0,-180.0,0.0,-0.0,22.07,-25.17,-182.54,0.524,0.85,-0.006,0.045,0.09
260.0,-20.0,115.0,-180.0,0.0,-0.0,12.26,-25.33,-182.33,0.524,0.85,-0.005,0.046,0.091
260.0,-20.0,125.0,-180.0,-0.0,-0.0,2.48,-25.37,-182.64,0.523,0.851,-0.005,0.047,0.096
260.0,-20.0,135.0,-180.0,-0.0,-0.0,-7.11,-25.6,-182.88,0.521,0.852,-0.006,0.048,0.102
260.0,-20.0,145.0,-180.0,-0.0,-0.0,-16.84,-25.51,-182.84,0.518,0.854,-0.004,0.048,0.113
260.0,-20.0,155.0,-180.0,-0.0,-0.0,-26.66,-25.74,-183.11,0.514,0.856,-0.005,0.049,0.128
260.0,-20.0,165.0,-180.0,0.0,-0.0,-36.35,-25.86,-183.3,0.509,0.86,-0.005,0.049,0.147
